cpu_name;cores;cpu_mark;thread_mark;tdp;socket;category
[3-Way CPU] ARM ARMv8 rev 1 (v8l) 12 Core 2201 MHz;12;7371;1183;-1;Unknown;Unknown
ARM ARMv8 rev 1 (v8l) 6 Core 1510 MHz;6;2572;808;-1;Unknown;Unknown
ARM Cortex-A15 4 Core 1400 MHz;4;1227;573;-1;Unknown;Unknown
ARM Cortex-A15 4 Core 1500 MHz;4;1304;594;-1;Unknown;Unknown
ARM Cortex-A15 4 Core 2000 MHz;4;923;526;-1;Unknown;Unknown
ARM Cortex-A15 8 Core 1400 MHz;8;1160;563;-1;Unknown;Unknown
ARM Cortex-A17 4 Core 1800 MHz;4;773;489;-1;Unknown;Unknown
ARM Cortex-A35 4 Core 1200 MHz;4;329;157;-1;Unknown;Unknown
ARM Cortex-A35 4 Core 1296 MHz;4;334;166;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1000 MHz;4;248;183;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1008 MHz;4;308;132;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1152 MHz;4;344;150;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1199 MHz;4;407;178;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1200 MHz;4;282;206;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1296 MHz;4;421;183;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1300 MHz;4;464;296;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1333 MHz;4;207;196;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1368 MHz;4;322;145;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1392 MHz;4;417;193;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1400 MHz;4;306;232;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1500 MHz;4;364;195;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1512 MHz;4;471;212;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1536 MHz;4;208;196;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1600 MHz;4;453;210;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1608 MHz;4;462;218;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1704 MHz;4;556;244;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1800 MHz;4;508;236;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 1908 MHz;4;638;274;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 2016 MHz;4;500;220;-1;Unknown;Unknown
ARM Cortex-A53 4 Core 600 MHz;4;220;137;-1;Unknown;Unknown
ARM Cortex-A53 6 Core 1896 MHz;6;1851;751;-1;Unknown;Unknown
ARM Cortex-A53 8 Core 1512 MHz;8;681;165;-1;Unknown;Unknown
ARM Cortex-A55 4 Core 1416 MHz;4;500;248;-1;Unknown;Unknown
ARM Cortex-A55 4 Core 1800 MHz;4;623;286;-1;Unknown;Unknown
ARM Cortex-A55 4 Core 1992 MHz;4;707;316;-1;Unknown;Unknown
ARM Cortex-A55 4 Core 2100 MHz;4;707;328;-1;Unknown;Unknown
ARM Cortex-A55 4 Core 2124 MHz;4;742;336;-1;Unknown;Unknown
ARM Cortex-A57 2 Core 1479 MHz;2;318;207;-1;Unknown;Unknown
ARM Cortex-A57 4 Core 1479 MHz;4;951;356;-1;Unknown;Unknown
ARM Cortex-A57 4 Core 1734 MHz;4;1170;387;-1;Unknown;Unknown
ARM Cortex-A57 4 Core 1912 MHz;4;1007;388;-1;Unknown;Unknown
ARM Cortex-A57 4 Core 2014 MHz;4;1229;431;-1;Unknown;Unknown
ARM Cortex-A57 4 Core 2091 MHz;4;1307;451;-1;Unknown;Unknown
ARM Cortex-A57 8 Core 1500 MHz;8;1022;346;-1;Unknown;Unknown
ARM Cortex-A57 8 Core 1766 MHz;8;3766;1153;-1;Unknown;Unknown
ARM Cortex-A7 2 Core 1080 MHz;2;142;200;-1;Unknown;Unknown
ARM Cortex-A7 2 Core 960 MHz;2;110;158;-1;Unknown;Unknown
ARM Cortex-A7 2 Core 996 MHz;2;138;192;-1;Unknown;Unknown
ARM Cortex-A7 4 Core 1008 MHz;4;269;198;-1;Unknown;Unknown
ARM Cortex-A7 4 Core 1200 MHz;4;270;208;-1;Unknown;Unknown
ARM Cortex-A7 4 Core 1296 MHz;4;225;162;-1;Unknown;Unknown
ARM Cortex-A7 4 Core 1300 MHz;4;341;245;-1;Unknown;Unknown
ARM Cortex-A7 4 Core 1368 MHz;4;354;266;-1;Unknown;Unknown
ARM Cortex-A7 4 Core 900 MHz;4;228;163;-1;Unknown;Unknown
ARM Cortex-A72 16 Core 2200 MHz;16;5470;601;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 1000 MHz;4;608;354;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 1200 MHz;4;174;178;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 1416 MHz;4;927;491;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 1500 MHz;4;639;454;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 1600 MHz;4;667;429;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 1700 MHz;4;574;454;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 1750 MHz;4;335;463;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 1800 MHz;4;708;518;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 1850 MHz;4;199;343;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 1900 MHz;4;763;566;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 2000 MHz;4;775;576;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 2100 MHz;4;674;545;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 2200 MHz;4;834;609;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 2300 MHz;4;870;649;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 2394 MHz;4;1254;800;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 2400 MHz;4;1295;830;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 2800 MHz;4;314;243;-1;Unknown;Unknown
ARM Cortex-A72 4 Core 800 MHz;4;279;214;-1;Unknown;Unknown
ARM Cortex-A72 6 Core 1008 MHz;6;712;393;-1;Unknown;Unknown
ARM Cortex-A72 6 Core 1416 MHz;6;1059;458;-1;Unknown;Unknown
ARM Cortex-A72 6 Core 1512 MHz;6;1183;533;-1;Unknown;Unknown
ARM Cortex-A73 4 Core 2100 MHz;4;1185;570;-1;Unknown;Unknown
ARM Cortex-A73 6 Core 1992 MHz;6;1311;454;-1;Unknown;Unknown
ARM Cortex-A73 6 Core 2016 MHz;6;1428;614;-1;Unknown;Unknown
ARM Cortex-A76 4 Core 1800 MHz;4;3140;974;-1;Unknown;Unknown
[Dual CPU] ARM Cortex-A76 4 Core 1800 MHz;4;3108;980;-1;Unknown;Unknown
ARM Cortex-A76 4 Core 2400 MHz;4;2147;1052;-1;Unknown;Unknown
ARM Cortex-A76 4 Core 2600 MHz;4;2320;1129;-1;Unknown;Unknown
ARM Cortex-A76 4 Core 2700 MHz;4;2376;1168;-1;Unknown;Unknown
ARM Cortex-A76 4 Core 2800 MHz;4;2457;1207;-1;Unknown;Unknown
ARM Cortex-A76 4 Core 2900 MHz;4;2473;1418;-1;Unknown;Unknown
ARM Cortex-A76 4 Core 3000 MHz;4;2544;1305;-1;Unknown;Unknown
ARM Cortex-A76 4 Core 3200 MHz;4;2579;1291;-1;Unknown;Unknown
ARM Cortex-A76 4 Core 3300 MHz;4;2493;1288;-1;Unknown;Unknown
ARM Cortex-A76 4 Core 3400 MHz;4;2580;1282;-1;Unknown;Unknown
ARM Cortex-A76 8 Core 1800 MHz;8;2792;994;-1;Unknown;Unknown
ARM Cortex-A78 4 Core 2000 MHz;4;3089;1114;-1;Unknown;Unknown
ARM D2000/8 8 Core 2300 MHz;8;2674;589;-1;Unknown;Unknown
ARM Falkor V1/Kryo 8 Core 1900 MHz;8;1652;542;-1;Unknown;Unknown
ARM Firestorm 4 Core 2064 MHz;4;7804;2941;-1;Unknown;Unknown
ARM Firestorm 8 Core 2064 MHz;8;6775;2804;-1;Unknown;Unknown
ARM Firestorm-M1 4 Core 2064 MHz;4;7667;2828;-1;Unknown;Unknown
ARM FT-2000/4 4 Core 2200 MHz;4;881;565;-1;Unknown;Unknown
ARM Kryo-4XX-Gold 8 Core 1804 MHz;8;2531;1128;-1;Unknown;Unknown
ARM Neoverse-N1 128 Core 2800 MHz;128;43111;1239;-1;Unknown;Unknown
ARM Neoverse-N1 128 Core 3000 MHz;128;46480;1321;-1;Unknown;Unknown
ARM Neoverse-N1 32 Core 1700 MHz;32;11820;754;-1;Unknown;Unknown
ARM Neoverse-N1 64 Core 0 MHz;64;28064;1089;-1;Unknown;Unknown
ARM Neoverse-N1 64 Core 2200 MHz;64;18803;862;-1;Unknown;Unknown
ARM Neoverse-N1 80 Core 2600 MHz;80;18823;1127;-1;Unknown;Unknown
ARM Neoverse-N1 80 Core 2800 MHz;80;11755;434;-1;Unknown;Unknown
ARM Neoverse-N1 80 Core 3000 MHz;80;36435;1328;-1;Unknown;Unknown
ARM phytium FT1500a 4 Core 2000 MHz;4;1579;716;-1;Unknown;Unknown
ARM Phytium,D2000/8 8 Core 2000 MHz;8;2409;513;-1;Unknown;Unknown
ARM Phytium,D2000/8 8 Core 2300 MHz;8;2671;591;-1;Unknown;Unknown
ARM Phytium,D2000/8 E8C 8 Core 2300 MHz;8;2156;587;-1;Unknown;Unknown
ARM Phytium,FT-2000/4 8 Core 2300 MHz;8;2720;603;-1;Unknown;Unknown
ARM X-Gene 32 Core 3000 MHz;32;8202;608;-1;Unknown;Unknown
ARM X-Gene 32 Core 3300 MHz;32;8684;583;-1;Unknown;Unknown
ASUS Tinker Board 2/2S;6;1771;910;-1;Unknown;Mobile/Embedded
Athlon 64 Dual Core 3800+;2;736;653;35;Unknown;Unknown
Athlon 64 Dual Core 5000+;2;850;924;89;Unknown;Desktop
Athlon 64 Dual Core 5600+;2;875;993;65;AM2;Desktop
Athlon Dual Core 4050e;2;670;744;45;AM2;Desktop
Athlon Dual Core 4450e;2;681;792;45;AM2;Desktop
Athlon Dual Core 4850e;2;769;861;45;AM2;Desktop
BCM2711;4;852;607;-1;Unknown;Mobile/Embedded
BCM2835;4;1239;700;-1;Unknown;Mobile/Embedded
Broadcom STB (Flattened Device Tree);4;646;403;-1;Unknown;Mobile/Embedded
Celeron Dual-Core T3000 @ 1.80GHz;2;687;748;35;PGA478;Laptop
Celeron Dual-Core T3100 @ 1.90GHz;2;599;637;35;BGA479;Laptop
Celeron Dual-Core T3300 @ 2.00GHz;2;620;701;35;Î¼FCPGA-478;Laptop
Celeron Dual-Core T3500 @ 2.10GHz;2;752;859;35;PGA478;Laptop
CentaurHauls @2000MHz;8;6549;1118;-1;Unknown;Unknown
CentaurHauls @2500MHz;8;8046;1387;-1;Unknown;Unknown
DG1301SML87HY;8;3624;727;-1;Unknown;Unknown
DO-Regular;1;1010;1246;-1;Unknown;Unknown
Dual-Core AMD Opteron 1220 SE;2;748;900;103;AM2;Server
Generic DT based system;4;600;442;-1;Unknown;Mobile/Embedded
Giada JHS558 (Android);6;2022;835;-1;Unknown;Mobile/Embedded
Google GS201;8;7381;2290;-1;Unknown;Mobile/Embedded
Google R11 BtWifi Evt1.1;2;187;240;-1;Unknown;Mobile/Embedded
Google Tensor;8;6712;2299;-1;Unknown;Mobile/Embedded
Google Tensor G3;9;8157;2436;-1;Unknown;Mobile/Embedded
Grandstream GXV3480 Video Phone;4;1078;503;-1;Unknown;Mobile/Embedded
Hardkernel ODROID-N2Plus;6;2115;888;-1;Unknown;Mobile/Embedded
Haydn based on Qualcomm Technologies, Inc SM8350;8;5359;1892;-1;Unknown;Mobile/Embedded
hi6210sft;8;796;269;-1;Unknown;Mobile/Embedded
High Performance Datacenter v;1;1610;1595;-1;Unknown;Unknown
HiSilicon Kirin;8;6283;2158;-1;Unknown;Mobile/Embedded
HiSilicon Kirin 659;8;1893;670;-1;Unknown;Mobile/Embedded
Hisilicon Kirin 930;8;1415;430;-1;Unknown;Mobile/Embedded
Hisilicon Kirin 935;8;1291;328;-1;Unknown;Mobile/Embedded
HiSilicon Kirin 950;8;2457;857;-1;Unknown;Mobile/Embedded
Hisilicon Kirin 955;8;2936;756;-1;Unknown;Mobile/Embedded
HiSilicon Kirin 960;8;2809;1093;-1;Unknown;Mobile/Embedded
HiSilicon Kirin 970;8;2908;1110;-1;Unknown;Mobile/Embedded
Hisilicon Kirin 990;8;3913;1650;-1;Unknown;Mobile/Embedded
Hisilicon Kirin710;8;2432;943;-1;Unknown;Mobile/Embedded
Hisilicon Kirin810;8;2945;1515;-1;Unknown;Mobile/Embedded
Hisilicon Kirin820;8;3893;1402;-1;Unknown;Mobile/Embedded
Hisilicon Kirin9000;8;5083;2490;-1;Unknown;Mobile/Embedded
Hisilicon Kirin970;8;2681;919;-1;Unknown;Mobile/Embedded
Hisilicon Kirin980;8;4349;1740;-1;Unknown;Mobile/Embedded
Hisilicon Kirin985;8;4162;1823;-1;Unknown;Mobile/Embedded
HP Hexa-Core 2.0GHz;4;1741;804;-1;Unknown;Unknown
Hygon C86 3185 8-core;8;9627;1878;95;Unknown;Unknown
Hygon C86 3250 8-core;8;11114;1724;-1;Unknown;Unknown
Hygon C86 7255 16-core;16;18831;1490;-1;Unknown;Unknown
Intel 2.80GHz;2;341;456;-1;Unknown;Unknown
Intel 300;2;7142;3237;46;FCLGA1700;Desktop
Intel Atom 230 @ 1.60GHz;1;169;185;4;BGA437;Desktop
Intel Atom 330 @ 1.60GHz;2;363;255;8;BGA437;Desktop
Intel Atom C1110;4;3170;1233;13;Unknown;Mobile/Embedded
Intel Atom C2338 @ 1.74GHz;2;584;233;7;FCBGA1283;Laptop
Intel Atom C2350 @ 1.74GHz;2;520;493;6;FCBGA1283;Server
Intel Atom C2358 @ 1.74GHz;2;578;391;7;FCBGA1283;Laptop
Intel Atom C2538 @ 2.40GHz;4;960;491;15;FCBGA1283;Laptop
Intel Atom C2550 @ 2.40GHz;4;1422;554;14;FCBGA1283;Server
Intel Atom C2558 @ 2.40GHz;4;1424;512;15;BGA 1283;Laptop, Mobile/Embedded
Intel Atom C2750 @ 2.40GHz;8;2767;685;20;FCBGA1283;Server
Intel Atom C2750 @ 2.41GHz;8;2174;291;20;BGA 1283;Server
Intel Atom C2758 @ 2.40GHz;8;2350;560;20;BGA 1283;Laptop, Mobile/Embedded
Intel Atom C3338 @ 1.50GHz;2;1028;806;-1;FCBGA1310;Server, Mobile/Embedded
Intel Atom C3508 @ 1.60GHz;4;1796;636;-1;FCBGA1310;Server
Intel Atom C3538 @ 2.10GHz;4;1889;744;15;FCBGA1310;Server
Intel Atom C3558 @ 2.20GHz;4;2417;852;16;FCBGA1310;Server
Intel Atom C3758 @ 2.20GHz;8;4614;867;25;FCBGA1310;Server
Intel Atom C3758R @ 2.40GHz;8;5131;957;26;FCBGA1310;Server
Intel Atom C3858 @ 2.00GHz;12;4707;652;25;FCBGA1310;Server
Intel Atom C3958 @ 2.00GHz;16;4281;514;31;FCBGA1310;Server
Intel Atom C5125;8;8631;1486;50;FCBGA2106;Server
Intel Atom D2500 @ 1.86GHz;2;246;326;10;BGA559;Desktop
Intel Atom D2550 @ 1.86GHz;2;409;322;10;BGA559;Desktop
Intel Atom D2560 @ 2.00GHz;2;433;353;10;Unknown;Desktop
Intel Atom D2700 @ 2.13GHz;2;467;378;10;BGA559;Desktop
Intel Atom D2701 @ 2.13GHz;2;511;384;10;BGA559;Laptop
Intel Atom D410 @ 1.66GHz;1;180;241;10;BGA559;Desktop
Intel Atom D425 @ 1.80GHz;1;199;267;10;BGA559;Desktop
Intel Atom D510 @ 1.66GHz;2;406;293;13;BGA559;Desktop
Intel Atom D525 @ 1.80GHz;2;398;305;13;BGA559;Desktop
Intel Atom E3805 @ 1.33GHz;2;406;376;3;FCBGA1170;Mobile/Embedded
Intel Atom E3815 @ 1.46GHz;1;184;266;5;FCBGA1170;Desktop
Intel Atom E3825 @ 1.33GHz;2;378;309;6;FCBGA1170;Desktop
Intel Atom E3826 @ 1.46GHz;2;304;395;7;FCBGA1170;Laptop
Intel Atom E3827 @ 1.74GHz;2;463;468;8;FCBGA1170;Laptop
Intel Atom E3840 @ 1.91GHz;4;704;477;-1;Unknown;Unknown
Intel Atom E3845 @ 1.91GHz;4;1058;536;10;FCBGA1170;Desktop
Intel Atom E3900 @ 1.60GHz;4;1953;675;-1;Unknown;Laptop
Intel Atom N2100 @ 1.60GHz;1;188;310;-1;BGA559;Laptop
Intel Atom N2600 @ 1.60GHz;2;360;289;-1;BGA559;Laptop
Intel Atom N270 @ 1.60GHz;1;175;164;-1;BGA437;Laptop
Intel Atom N280 @ 1.66GHz;1;157;234;-1;BGA437;Laptop
Intel Atom N2800 @ 1.86GHz;2;444;319;-1;BGA559;Laptop
Intel Atom N435 @ 1.33GHz;1;153;220;-1;Unknown;Unknown
Intel Atom N450 @ 1.66GHz;1;203;277;-1;BGA559;Laptop
Intel Atom N455 @ 1.66GHz;1;193;266;-1;BGA559;Laptop
Intel Atom N470 @ 1.83GHz;1;224;308;-1;BGA559;Laptop
Intel Atom N475 @ 1.83GHz;1;179;281;-1;BGA559;Laptop
Intel Atom N550 @ 1.50GHz;2;283;239;-1;BGA559;Laptop
Intel Atom N570 @ 1.66GHz;2;341;273;-1;BGA559;Laptop
Intel Atom S1260 @ 2.00GHz;2;526;313;-1;FCBGA1283;Server
Intel Atom T5700 @ 1.70GHz;4;2363;906;-1;Unknown;Laptop
Intel Atom x5-E3930 @ 1.30GHz;2;928;642;-1;BGA1296;Laptop
Intel Atom x5-E3940 @ 1.60GHz;4;1973;679;-1;BGA1296;Laptop
Intel Atom x5-E8000 @ 1.04GHz;4;943;505;5;FCBGA1170;Laptop
Intel Atom x5-Z8300 @ 1.44GHz;4;814;455;4;UTFCBGA592;Laptop, Mobile/Embedded
Intel Atom x5-Z8330 @ 1.44GHz;4;811;459;4;Unknown;Laptop
Intel Atom x5-Z8350 @ 1.44GHz;4;890;472;4;UTFCBGA592;Laptop
Intel Atom x5-Z8500 @ 1.44GHz;4;1237;632;4;UTFCBGA1380;Laptop
Intel Atom x5-Z8550 @ 1.44GHz;4;1160;674;4;UTFCBGA1380;Laptop, Mobile/Embedded
Intel Atom x6211E @ 1.20GHz;2;1695;1304;6;FCBGA1493;Mobile/Embedded
Intel Atom x6211E @ 1.30GHz;2;1833;1208;6;FCBGA1493;Mobile/Embedded
Intel Atom x6214RE @ 1.40GHz;2;1109;754;6;FCBGA1493;Mobile/Embedded
Intel Atom x6413E @ 1.50GHz;4;3864;1493;9;FCBGA1493;Mobile/Embedded
Intel Atom x6414RE @ 1.50GHz;4;1544;608;9;FCBGA1493;Mobile/Embedded
Intel Atom x6425E @ 2.00GHz;4;4044;1586;12;FCBGA1493;Mobile/Embedded
Intel Atom x6425RE @ 1.90GHz;4;3017;1025;12;FCBGA1493;Mobile/Embedded
Intel Atom x6427FE @ 1.90GHz;4;3196;1016;12;FCBGA1493;Mobile/Embedded
Intel Atom x7-E3950 @ 1.60GHz;4;2124;745;12;BGA1296;Laptop
Intel Atom x7-Z8700 @ 1.60GHz;4;1335;652;4;BGA1380;Laptop
Intel Atom x7-Z8750 @ 1.60GHz;4;1274;677;4;UTFCBGA1380;Laptop
Intel Atom x7425E;4;5777;2076;12;FCBGA1264;Mobile/Embedded
Intel Atom Z2760 @ 1.80GHz;2;298;206;-1;FC-MB4760;Laptop
Intel Atom Z3530 @ 1.33GHz;4;565;368;-1;FC-MB5T1064;Mobile/Embedded
Intel Atom Z3560 @ 1.00GHz;4;749;486;-1;Unknown;Mobile/Embedded
Intel Atom Z3560 @ 1.83GHz;4;690;476;-1;Unknown;Mobile/Embedded
Intel Atom Z3580 @ 1.33GHz;4;802;587;-1;Unknown;Laptop, Mobile/Embedded
Intel Atom Z3735D @ 1.33GHz;4;761;591;-1;Unknown;Laptop
Intel Atom Z3735E @ 1.33GHz;4;557;478;-1;UTFCBGA1380;Laptop
Intel Atom Z3735F @ 1.33GHz;4;539;386;-1;UTFCBGA592;Laptop
Intel Atom Z3735G @ 1.33GHz;4;772;476;-1;Unknown;Laptop
Intel Atom Z3736F @ 1.33GHz;4;503;418;-1;UTFCBGA592;Laptop
Intel Atom Z3740 @ 1.33GHz;4;634;419;4;UTFCBGA1380;Laptop
Intel Atom Z3740D @ 1.33GHz;4;614;459;-1;UTFCBGA1380;Laptop
Intel Atom Z3745 @ 1.33GHz;4;621;435;4;UTFCBGA1380;Laptop
Intel Atom Z3745D @ 1.33GHz;4;599;415;-1;Unknown;Laptop
Intel Atom Z3770 @ 1.46GHz;4;736;539;4;UTFCBGA1380;Laptop
Intel Atom Z3770D @ 1.49GHz;4;488;361;-1;BGA1380;Laptop
Intel Atom Z3775 @ 1.46GHz;4;703;504;4;UTFCBGA1380;Laptop
Intel Atom Z3775D @ 1.49GHz;4;794;646;-1;UTFCBGA1380;Laptop
Intel Atom Z3795 @ 1.60GHz;4;1188;640;4;UTFCBGA1380;Laptop
Intel Atom Z520 @ 1.33GHz;1;122;151;2;BGA441;Laptop
Intel Atom Z530 @ 1.60GHz;1;183;161;2;BGA441;Laptop
Intel Atom Z670 @ 1.50GHz;1;158;95;3;BGA518;Laptop
Intel CC150 @ 3.50GHz;8;11745;2128;-1;FCLGA1151;Unknown
Intel Celeron 1.70GHz;1;101;190;-1;Unknown;Unknown
Intel Celeron 1.80GHz;1;96;307;-1;PPGA478;Desktop
Intel Celeron 1000M @ 1.80GHz;2;1074;975;35;FCPGA988;Laptop
Intel Celeron 1000MHz;1;139;174;-1;Unknown;Unknown
Intel Celeron 1005M @ 1.90GHz;2;1106;1018;35;FCPGA988;Laptop
Intel Celeron 1007U @ 1.50GHz;2;836;771;17;FCBGA1023;Laptop
Intel Celeron 1017U @ 1.60GHz;2;888;808;17;FCBGA1023;Laptop
Intel Celeron 1019Y @ 1.00GHz;2;576;521;10;FCBGA1023;Desktop
Intel Celeron 1020E @ 2.20GHz;2;1406;1224;35;FCBGA1023, FCP;Laptop
Intel Celeron 1020M @ 2.10GHz;2;1275;1176;35;FCPGA988;Laptop
Intel Celeron 1037U @ 1.80GHz;2;994;934;17;FCBGA1023;Laptop
Intel Celeron 1047UE @ 1.40GHz;2;748;526;17;FCBGA1023;Desktop
Intel Celeron 1100MHz;1;113;183;-1;Unknown;Unknown
Intel Celeron 1200MHz;1;159;212;-1;Unknown;Unknown
Intel Celeron 2.00GHz;1;125;338;-1;PPGA478;Desktop
Intel Celeron 2.13GHz;1;166;361;-1;Unknown;Unknown
Intel Celeron 2.20GHz;1;139;349;-1;Unknown;Unknown
Intel Celeron 2.26GHz;1;182;382;-1;Unknown;Unknown
Intel Celeron 2.30GHz;1;148;364;-1;Unknown;Unknown
Intel Celeron 2.40GHz;1;143;397;-1;Unknown;Unknown
Intel Celeron 2.50GHz;1;164;431;-1;Unknown;Unknown
Intel Celeron 2.53GHz;1;222;396;-1;Unknown;Unknown
Intel Celeron 2.60GHz;1;143;353;-1;Unknown;Unknown
Intel Celeron 2.66GHz;1;131;359;-1;Unknown;Unknown
Intel Celeron 2.70GHz;1;159;386;-1;Unknown;Unknown
Intel Celeron 2.80GHz;1;190;425;-1;PPGA478;Desktop
Intel Celeron 2.93GHz;1;230;396;-1;Unknown;Unknown
Intel Celeron 2000E @ 2.20GHz;2;1607;1282;37;FCBGA1364;Laptop
Intel Celeron 2002E @ 1.50GHz;2;1091;871;25;FCBGA1364;Laptop
Intel Celeron 215 @ 1.33GHz;1;174;440;27;BGA479;Laptop
Intel Celeron 220 @ 1.20GHz;1;209;255;19;BGA479;Desktop
Intel Celeron 2950M @ 2.00GHz;2;1229;1141;37;FCPGA946;Laptop
Intel Celeron 2955U @ 1.40GHz;2;872;777;15;FCBGA1168;Laptop
Intel Celeron 2957U @ 1.40GHz;2;861;783;15;FCBGA1168;Laptop
Intel Celeron 2961Y @ 1.10GHz;2;684;634;-1;Unknown;Laptop
Intel Celeron 2970M @ 2.20GHz;2;1501;1245;37;FCPGA946;Laptop
Intel Celeron 2980U @ 1.60GHz;2;1056;929;15;FCBGA1168;Laptop
Intel Celeron 2981U @ 1.60GHz;2;991;871;15;BGA1168;Laptop
Intel Celeron 3.06GHz;1;307;544;-1;Unknown;Unknown
Intel Celeron 3.20GHz;1;267;599;-1;Unknown;Unknown
Intel Celeron 3.33GHz;1;263;528;-1;Unknown;Unknown
Intel Celeron 3205U @ 1.50GHz;2;947;909;15;FCBGA1168;Laptop
Intel Celeron 3215U @ 1.70GHz;2;1123;1051;15;FCBGA1168;Laptop
Intel Celeron 3755U @ 1.70GHz;2;1182;1022;15;FCBGA1168;Laptop
Intel Celeron 3765U @ 1.90GHz;2;1252;1171;15;FCBGA1168;Laptop
Intel Celeron 3855U @ 1.60GHz;2;1274;956;15;FCBGA1356;Laptop
Intel Celeron 3865U @ 1.80GHz;2;1316;1035;15;BGA1356;Laptop
Intel Celeron 3867U @ 1.80GHz;2;1460;1087;15;FCBGA1356;Laptop
Intel Celeron 3955U @ 2.00GHz;2;1507;1204;15;FCBGA1356;Laptop
Intel Celeron 3965U @ 2.20GHz;2;1743;1348;15;FCBGA1356;Laptop
Intel Celeron 3965Y @ 1.50GHz;2;1194;901;6;FCBGA1515;Laptop
Intel Celeron 420 @ 1.60GHz;1;235;471;35;LGA775;Desktop
Intel Celeron 4205U @ 1.80GHz;2;1361;1039;15;FCBGA1528;Laptop
Intel Celeron 430 @ 1.80GHz;1;280;615;35;LGA775;Desktop
Intel Celeron 4305U @ 2.20GHz;2;1807;1365;15;FCBGA1528;Mobile/Embedded
Intel Celeron 4305UE @ 2.00GHz;2;1699;1163;15;FCBGA1528;Laptop, Mobile/Embedded
Intel Celeron 440 @ 2.00GHz;1;368;444;35;LGA775;Desktop
Intel Celeron 450 @ 2.20GHz;1;415;713;35;LGA775;Desktop
Intel Celeron 5205U @ 1.90GHz;2;1459;1103;15;FCBGA1528;Laptop
Intel Celeron 530 @ 1.73GHz;1;268;468;27;PGA478;Laptop
Intel Celeron 540 @ 1.86GHz;1;305;550;30;PGA478;Laptop
Intel Celeron 550 @ 2.00GHz;1;319;641;31;BGA479;Laptop
Intel Celeron 560 @ 2.13GHz;1;339;632;31;PGA478;Laptop
Intel Celeron 570 @ 2.26GHz;1;344;431;31;PGA478;Laptop
Intel Celeron 6305 @ 1.80GHz;2;2105;1201;-1;FCBGA1449;Laptop
Intel Celeron 6305E @ 1.80GHz;2;1981;1169;15;FCBGA1449;Mobile/Embedded
Intel Celeron 6600HE @ 2.60GHz;2;3286;1764;35;FCBGA1787;Mobile/Embedded
Intel Celeron 723 @ 1.20GHz;1;213;460;10;BGA956;Laptop
Intel Celeron 7305;5;2378;794;15;FCBGA1744;Laptop
Intel Celeron 7305E;5;2665;823;15;FCBGA1744;Mobile/Embedded
Intel Celeron 743 @ 1.30GHz;1;275;496;10;BGA956;Laptop
Intel Celeron 807 @ 1.50GHz;1;392;608;17;BGA-1023;Laptop
Intel Celeron 807UE @ 1.00GHz;1;241;421;10;BGA-1023;Laptop
Intel Celeron 827E @ 1.40GHz;1;371;674;17;FCBGA1023;Laptop
Intel Celeron 847 @ 1.10GHz;2;483;476;17;BGA1023;Laptop
Intel Celeron 847E @ 1.10GHz;2;584;520;17;FCBGA1023;Laptop
Intel Celeron 857 @ 1.20GHz;2;569;476;17;BGA1023;Laptop
Intel Celeron 867 @ 1.30GHz;2;562;584;17;BGA1023;Laptop
Intel Celeron 877 @ 1.40GHz;2;675;637;17;BGA1023;Laptop
